20,7,2,42,23,0,14,5,1,70,37,9
17,13,2,43,23,4,4,11,0,61,30,7
16,11,0,37,25,1,13,7,0,65,37,5
15,7,3,47,22,6,6,9,1,48,33,5
17,7,2,39,30,4,11,7,0,62,36,6
20,15,2,24,29,2,8,11,4,73,33,7
12,15,0,39,25,4,12,7,2,62,38,4
15,13,2,38,26,3,12,11,2,68,31,4
12,20,1,53,41,2,12,10,4,59,57,8
14,19,1,42,42,3,9,10,3,67,39,8
12,15,2,39,38,6,14,15,3,75,44,9
15,8,1,35,39,8,20,9,2,58,36,5
18,8,3,40,39,1,15,10,4,87,38,8
13,8,3,39,36,5,17,11,0,80,47,8
14,10,2,38,28,7,12,8,0,80,49,8
19,14,5,40,32,5,14,8,2,74,26,2
11,15,2,45,29,3,17,10,1,71,35,3
17,9,4,48,41,4,7,9,1,64,47,3
15,9,0,44,46,4,17,8,3,85,38,4
18,10,0,48,45,1,16,11,2,97,43,3
11,12,0,50,40,4,14,10,1,82,50,6
16,10,3,46,51,4,16,13,1,83,29,6
14,8,1,52,41,5,12,11,1,86,47,5
14,8,2,44,48,4,11,14,0,75,49,8
13,3,0,39,44,4,10,14,1,63,55,3
14,13,1,41,41,2,9,15,3,73,56,4
16,13,1,32,30,1,14,13,0,83,48,6
14,11,0,47,36,2,16,10,2,92,43,2
14,10,1,45,41,3,14,11,0,95,58,3
20,7,2,51,38,4,11,11,1,83,36,6
11,8,1,54,36,2,8,14,2,80,40,6
18,8,2,35,25,1,9,15,0,94,27,12
15,15,1,40,27,3,13,11,0,74,55,8
17,8,0,46,32,2,13,8,1,86,49,5
12,10,3,38,37,3,17,8,1,79,36,2
14,13,2,36,44,1,9,13,1,74,45,5
21,8,2,39,41,4,8,14,1,59,56,14
16,9,0,47,42,2,6,21,2,71,42,7
15,12,2,43,42,4,12,15,1,71,48,9
18,11,0,48,41,4,8,16,1,89,50,10
16,10,1,43,36,7,15,12,0,92,43,4
13,7,2,55,42,5,15,9,2,70,51,6
18,9,1,47,46,4,9,5,3,76,45,11
21,11,1,48,25,4,17,16,1,99,56,4
18,14,4,50,45,4,12,9,1,93,43,9
13,15,0,41,32,6,10,11,0,95,46,6
16,5,0,44,45,4,17,18,1,99,48,11
12,12,1,62,35,4,13,12,2,94,50,15
20,11,0,41,39,6,21,17,3,89,47,4
12,11,1,44,44,3,15,13,1,98,60,8
14,11,0,36,42,2,10,10,3,77,54,7
19,13,1,44,38,5,12,8,2,69,56,7
16,12,0,51,38,4,10,18,1,74,45,8
11,10,0,47,42,3,13,11,2,82,59,7
16,15,1,52,33,2,14,7,1,65,63,6
13,11,0,48,41,2,12,8,0,83,40,8
14,6,2,39,40,5,12,8,3,88,49,6
9,16,0,49,37,5,7,10,2,109,33,8
14,10,1,51,31,5,12,6,2,75,34,7
14,9,2,39,26,4,11,19,2,91,36,6
13,13,2,39,25,8,13,8,2,83,45,12
14,9,1,43,33,3,18,8,0,78,42,7
20,19,0,34,30,0,12,13,2,96,49,7
13,11,2,39,40,2,11,11,3,97,40,6
14,16,1,54,32,5,13,10,0,94,58,8
11,7,0,43,29,3,16,7,3,78,47,7
12,14,0,47,40,2,15,12,2,101,52,11
12,15,0,51,40,7,9,16,3,114,37,12
14,7,0,33,49,4,14,12,1,79,49,13
12,6,0,44,47,4,9,14,2,74,52,11
9,2,1,44,29,2,19,12,4,66,46,5
12,12,0,37,31,0,8,8,2,102,43,4
15,17,2,47,30,1,12,14,0,82,45,3
17,13,0,40,30,3,12,12,1,76,51,2
18,7,1,46,49,5,14,11,2,82,46,5
7,9,1,53,23,8,21,11,3,72,52,8
11,7,1,40,43,6,14,19,2,77,53,11
11,6,0,39,27,3,13,9,4,73,51,6
17,15,1,33,31,7,13,4,1,67,33,7
16,13,2,34,34,5,14,7,2,85,33,5
16,12,0,45,31,4,16,8,0,91,39,4
9,8,1,41,26,7,8,9,2,79,40,11
13,8,3,46,27,4,16,11,2,99,39,8
8,11,0,46,33,3,18,8,0,80,34,6
12,10,0,36,26,6,10,14,1,84,34,1
16,13,1,40,34,6,6,9,1,69,41,6
16,13,1,48,33,3,10,15,0,60,32,5
21,16,0,37,37,3,9,10,4,61,29,9
16,8,0,45,46,5,12,10,3,64,44,11
16,12,0,38,31,4,9,9,0,76,34,3
16,6,2,47,40,4,9,6,1,74,43,8
9,10,0,36,31,3,10,6,0,82,39,8
15,12,0,43,44,3,12,8,0,86,37,13
14,15,0,50,35,7,11,19,4,75,44,5
11,16,0,36,31,5,16,9,3,78,50,10
17,6,1,56,35,3,11,16,2,113,60,12
12,9,0,51,48,3,20,9,7,98,41,9
20,9,1,45,37,6,14,8,2,89,45,14
17,12,0,47,31,2,6,9,3,75,30,8
14,7,0,57,41,6,12,9,0,90,47,7
18,13,1,52,42,8,5,14,1,86,50,8
20,9,1,47,30,3,12,7,2,109,47,6
10,8,0,50,26,0,17,14,3,107,37,5
14,8,0,48,45,3,14,10,1,79,36,7
12,10,2,35,44,5,9,8,1,73,61,10
14,9,0,37,48,5,7,15,3,90,51,9
12,4,0,48,40,7,11,18,2,76,59,6
14,12,0,41,42,5,8,12,3,72,56,5
13,9,0,41,38,3,11,22,1,80,48,8
16,10,0,49,24,3,8,16,0,81,31,10
14,17,0,53,40,2,12,12,1,70,55,8
14,11,0,46,34,3,13,12,1,73,50,5
16,15,0,50,39,7,18,11,0,86,50,7
18,13,0,50,32,6,8,11,1,73,49,4
20,6,0,46,35,3,12,10,1,76,54,3
14,9,0,48,33,1,9,9,1,88,42,3
16,11,1,40,26,3,15,9,0,83,42,7
13,9,3,46,30,1,15,12,4,94,43,4
25,10,0,43,36,4,9,13,1,80,50,8
22,14,0,48,37,2,11,8,3,80,49,6
16,11,0,43,29,5,15,10,2,78,40,4
19,8,2,39,34,1,7,14,2,77,37,4
12,11,0,45,42,4,15,13,1,101,51,8
14,11,2,42,27,4,15,9,2,83,48,4
16,9,0,50,33,5,10,9,1,79,43,5
13,9,4,43,31,3,18,6,1,76,36,6
19,12,3,53,35,5,8,7,0,85,49,6
16,7,0,39,42,3,11,14,3,78,42,5
12,7,1,45,28,3,7,11,1,91,34,6
13,10,1,44,33,3,11,12,2,89,35,9
14,14,0,50,41,4,16,10,2,80,31,2
17,8,0,60,52,3,15,12,0,94,43,7
17,12,1,45,39,2,13,7,0,95,57,9
18,9,2,31,43,1,15,11,3,92,47,4
20,6,0,27,33,4,19,9,0,86,51,7
14,6,1,47,41,2,13,13,0,81,51,6
14,5,0,46,39,3,15,9,3,73,47,8
15,8,0,52,33,6,14,10,1,77,55,7
15,14,1,52,41,6,13,11,4,87,43,8
19,10,1,48,40,6,12,5,2,84,54,13
13,8,2,49,33,5,9,12,1,80,45,6
20,9,0,45,26,7,18,12,3,79,40,12
12,10,1,35,32,5,10,14,1,70,46,8
17,12,1,51,42,4,9,10,3,82,50,6
11,11,0,51,39,3,13,10,3,72,45,7
20,9,1,44,38,3,10,15,1,78,59,8
14,17,1,42,29,4,9,8,2,74,49,7
13,9,0,44,39,4,9,3,1,71,56,8
10,14,0,45,31,6,8,14,2,74,49,3
21,12,1,35,26,3,13,13,1,74,42,4
19,13,0,38,28,6,10,9,1,85,44,3
19,18,1,48,31,3,14,17,3,90,46,6
22,8,0,43,32,4,15,7,0,88,46,5
13,14,0,33,30,2,11,11,1,86,57,10
16,10,0,48,38,4,14,22,4,82,49,6
14,10,1,40,32,3,13,18,1,72,42,11
7,15,1,50,32,3,9,15,1,89,56,7
14,9,1,35,32,4,13,5,1,71,43,4
12,11,0,35,34,6,8,14,1,83,40,8
14,8,0,45,42,6,14,14,6,78,53,11
15,7,0,44,31,6,16,11,6,92,54,8
22,13,0,44,34,8,8,11,2,90,55,5
14,5,0,44,43,8,13,17,2,84,49,7
17,12,1,52,35,7,11,11,6,96,34,15
11,6,3,39,40,3,8,7,4,82,45,15
13,13,0,44,36,4,16,11,1,65,31,8
12,10,0,31,42,5,11,8,3,85,44,14
13,14,0,53,40,6,18,11,3,92,49,7
17,18,2,42,48,5,17,11,3,95,55,9
13,18,1,37,44,1,11,11,3,86,46,9
12,10,1,45,34,3,13,18,1,83,51,6
12,12,1,46,44,2,7,19,1,85,47,6
14,13,2,50,39,1,10,11,0,80,51,5
13,7,2,50,45,3,13,15,1,86,46,7
16,5,1,49,34,3,11,16,2,84,46,5
14,10,1,51,43,2,14,11,0,91,54,8
15,15,0,51,47,0,15,14,1,75,41,5
17,8,2,48,48,1,15,18,2,93,41,6
18,20,3,41,28,2,19,7,2,109,49,5
15,14,0,33,40,2,12,12,2,83,41,6
12,12,2,51,36,3,16,8,0,81,52,2
9,16,1,52,29,3,14,9,0,94,34,6
14,11,1,50,51,2,14,8,2,100,62,2
19,10,0,45,40,2,18,16,2,74,56,10
16,19,0,36,35,1,14,8,0,79,48,9
19,9,3,44,36,1,16,9,2,78,46,3
23,6,0,41,33,3,9,14,1,77,43,6
18,14,3,38,42,5,12,10,0,71,50,5
16,5,0,36,48,0,9,13,4,63,41,6
20,16,2,47,26,7,7,18,3,73,41,5
16,6,2,39,33,8,10,14,4,82,52,8
12,14,1,31,33,8,9,8,3,63,35,16
19,8,2,38,45,8,16,10,1,80,44,8
12,4,2,45,44,4,12,12,4,72,51,7
15,10,1,30,36,5,14,12,2,93,36,10
15,14,0,44,41,6,18,14,3,72,54,11
16,6,0,44,38,3,12,11,0,78,52,7
10,10,1,38,38,4,12,9,3,87,57,10
17,12,1,43,36,4,13,11,2,86,38,7
17,11,1,42,40,3,8,8,2,77,47,12
23,4,0,41,33,5,8,18,0,84,46,8
13,6,0,48,42,6,7,20,2,71,56,6
16,5,0,42,45,4,12,13,2,89,57,11
12,4,0,37,42,10,13,23,0,68,56,11
25,3,0,43,47,6,13,23,1,89,57,14
20,14,0,44,30,4,11,12,2,74,46,11
14,10,1,53,34,3,10,15,1,104,46,7
13,3,0,42,28,2,17,9,0,90,37,9
15,8,0,43,25,2,14,14,6,94,40,6
15,10,0,50,32,0,10,12,3,93,44,12
11,14,0,52,25,3,12,12,1,65,48,7
13,12,0,48,28,4,12,12,3,84,54,5
16,9,1,43,43,5,10,13,0,89,54,13
13,11,0,40,34,6,14,10,4,73,52,6
18,14,0,42,29,6,8,8,0,80,55,7
12,10,0,42,40,6,5,17,2,80,36,11
16,18,0,39,30,4,16,13,3,84,49,13
16,12,1,36,33,6,13,10,3,65,35,4
13,11,3,58,32,2,18,9,2,106,38,10
17,8,1,42,29,4,14,10,3,90,49,6
12,6,0,46,39,4,22,9,0,97,37,7
11,8,0,56,40,8,12,13,2,100,50,10
18,13,0,48,34,7,17,11,2,95,33,9
13,12,1,44,37,7,8,8,5,79,51,8
16,12,0,50,39,10,12,12,4,83,40,14
10,7,0,63,50,5,14,10,3,101,35,9
12,10,1,43,32,3,14,10,3,84,48,11
13,12,0,45,33,8,11,9,3,95,46,6
11,15,1,43,34,1,10,14,6,81,52,4
8,17,1,35,41,2,14,8,1,75,48,7
13,15,0,38,30,7,13,11,3,82,46,10
15,6,0,40,38,7,6,8,3,61,47,15
12,10,0,32,39,4,16,13,0,84,43,9
11,12,0,39,48,1,10,13,3,75,54,7
13,12,0,55,39,4,15,13,1,84,51,10
10,8,0,58,38,4,13,9,0,104,47,13
12,14,0,35,38,2,17,9,1,79,45,9
11,11,0,38,37,2,18,10,2,73,44,5
15,6,0,42,36,3,11,20,1,70,35,6
15,13,0,47,47,3,15,10,0,72,34,7
17,12,0,30,43,3,9,10,2,64,39,9
12,7,0,38,33,3,11,12,1,61,41,4
17,5,0,42,37,0,12,10,3,76,53,8
14,9,0,33,36,4,14,14,0,93,44,4
12,10,0,48,45,3,14,15,3,94,52,5
9,9,0,40,44,3,11,6,1,89,47,10
16,8,2,54,36,5,11,14,1,81,40,8
7,13,0,38,41,5,15,20,1,88,52,6
14,7,1,51,42,2,15,14,3,84,52,8
9,10,0,47,32,5,17,7,1,84,45,7
11,11,1,37,41,1,10,14,2,93,43,9
12,14,1,47,22,3,10,9,2,83,42,10
19,13,1,44,23,5,14,11,1,87,50,12
13,8,1,41,28,4,14,7,0,94,35,11
10,10,0,44,35,11,16,18,2,90,58,10
16,10,0,47,36,6,16,11,2,92,45,10
22,15,1,49,50,4,20,10,4,94,49,12
18,7,0,52,40,2,10,9,3,76,48,16
17,12,2,48,29,3,12,11,1,85,43,4
11,12,1,42,43,4,13,13,1,80,58,7
12,8,4,51,29,4,16,16,1,79,42,11
20,7,2,36,33,7,10,10,0,61,43,6
15,12,0,37,29,10,8,10,3,82,41,10
15,14,1,40,35,7,10,12,0,75,49,12
20,12,2,44,36,7,12,14,0,79,50,8
16,13,0,38,32,4,16,7,2,83,44,5
16,16,1,58,41,2,11,10,0,90,46,6
15,12,0,53,33,2,15,7,1,88,44,7
9,9,1,58,36,3,16,12,4,106,43,4
10,16,3,58,43,4,15,9,1,115,43,9
16,10,4,52,31,0,13,12,1,98,57,6
15,9,0,59,47,5,14,13,4,108,58,4
15,12,0,55,36,3,19,9,1,103,39,6
11,11,1,56,38,4,11,14,2,90,41,4
17,14,1,43,41,6,18,11,2,103,38,6
5,9,1,55,22,6,14,6,1,105,39,6
16,13,2,50,45,4,8,5,0,85,53,7
11,12,0,49,38,3,14,8,2,84,36,6
14,10,4,40,38,4,16,7,0,106,42,5
16,15,2,45,35,4,12,13,3,79,43,9
16,19,2,37,30,5,12,13,3,80,39,6
11,10,0,45,33,3,14,12,2,92,53,3
15,10,2,46,43,3,13,7,1,82,46,7
9,5,0,48,33,1,14,8,1,85,61,3
13,14,2,48,45,6,7,14,1,74,48,2
21,11,0,44,45,8,12,13,2,87,35,4
13,11,1,43,40,5,13,8,1,80,51,7
19,11,0,43,36,1,10,16,2,84,68,5
9,7,0,30,36,2,12,10,2,80,47,8
24,14,1,32,22,1,6,15,2,65,48,3
12,12,0,44,39,3,15,9,2,72,43,6
14,9,0,36,37,1,12,12,1,72,52,4
9,9,1,44,44,2,18,10,2,95,40,6
22,12,0,45,37,6,10,6,2,86,53,3
20,10,0,40,36,6,13,11,0,76,39,9
20,11,1,51,27,4,7,15,2,68,36,6
19,13,2,47,41,3,11,12,5,71,52,8
11,9,0,46,37,5,15,8,2,68,40,2
19,8,2,42,26,4,12,10,1,81,54,13
19,9,0,40,29,7,20,6,2,74,38,7
12,11,3,44,38,5,10,8,0,67,37,7
25,9,0,39,39,5,15,8,0,67,36,4
23,7,0,40,43,4,10,6,2,69,51,15
11,12,0,41,42,5,17,8,2,71,45,10
17,13,1,36,31,3,13,8,1,82,59,14
16,15,1,48,38,7,15,16,3,80,56,11
15,14,0,46,27,5,12,11,1,76,55,10
18,13,2,40,33,6,8,18,0,72,44,6
19,10,0,44,33,6,8,14,0,86,56,11
20,11,0,43,37,1,5,8,2,84,59,5
20,7,0,33,37,4,16,15,2,96,50,11
16,6,0,52,45,3,12,10,1,80,52,4
10,9,2,38,35,4,17,8,0,87,41,9
14,7,0,53,27,6,15,10,1,94,47,8
14,10,1,49,43,3,10,16,3,90,40,5
11,15,0,42,43,5,18,11,0,76,52,10
8,16,2,43,35,5,16,20,0,87,46,7
12,23,1,54,33,7,15,9,1,117,46,12
18,13,1,39,34,3,20,13,1,91,38,7
18,14,1,52,42,7,18,9,0,87,45,8
12,12,2,46,36,5,12,7,1,98,47,12
13,15,0,42,37,2,17,11,2,98,48,7
15,9,0,54,40,3,11,7,3,97,45,13
23,14,0,43,32,3,10,8,3,97,40,7
12,10,1,47,38,4,8,6,2,88,37,13
16,20,0,48,33,7,17,13,1,85,34,11
16,14,1,49,30,5,8,14,1,111,47,10
10,9,0,53,27,3,11,6,2,104,43,6
17,10,0,40,26,1,9,14,0,82,58,3
12,13,0,48,50,3,19,8,0,86,44,6
15,15,1,53,29,7,17,9,0,94,40,7
6,8,0,49,37,3,20,18,0,85,45,5
13,8,0,49,39,3,16,10,0,102,62,7
15,7,0,45,38,4,11,15,2,97,61,4
13,5,2,35,35,4,10,11,0,62,50,6
15,9,1,44,34,2,17,8,2,83,53,6
15,7,0,38,24,4,14,9,2,73,31,10
18,5,2,43,35,4,10,6,1,76,31,4
16,5,0,47,24,5,8,8,0,61,31,12
15,13,4,38,41,3,8,12,0,71,30,8
22,9,2,53,34,6,4,11,1,99,41,2
